ans_str,query_str,idx_of_ans,idx_of_qns
"Official local callers will not have a “+” prefix. Seeing what seems like a local number with a “+” prefix is likely to be a spoofed call. Only incoming international calls have the “+” sign prefix displayed whilst local calls will not have a “+” prefix. Official callers will not request for personal or financial information over the phone. We are aware of calls falsely informing recipients that they are from MOH, requesting for your personal or financial information over the phone. We urge recipients not to respond to these calls. Official callers will never send you a recorded message.  Please always verify the authenticity of instructions before offering any personal or financial information. You can verify the authenticity of emails or phone calls by calling us at 1800 333 9999.&nbsp; If you receive such a call, call the Police at 1800 255 0000  or submit a report online at www.police.gov.sg/iwitness.","How to spot a scam call?",481,486
"Yes. Please refer to the following NEA guidelines:  Cleaning and Disinfection Guidelines for Households on Home Recovery&nbsp; List of household disinfectants and self-disinfecting surface coating products against COVID-19 virus","Should I disinfect my room or home after I have been isolated?",391,396
"To verify the authenticity of calls from MOH, you may wish to:  Take down the number which the caller is calling from. Call the MOH COVID-19 General Enquiries Hotline at 1800 333 9999    and provide them the caller’s number.  Please note that MOH will not ask for your financial details when conducting tracing or divulge any details of confirmed cases. We will also not ask you to collect documents from us, unless you have existing business with MOH.","I have received a call from MOH saying that they are contacting me for contact tracing purposes. How do I verify if that is true?",471,476
"From now till 20 March 2022 (inclusive), in-persons visits to Hospitals and Residential Care Homes will be suspended to protect our healthcare capacity and vulnerable groups. Hospitals and Homes have the discretion to allow visits for exceptional cases (e.g. if the patient or resident is critically ill), subject to visitor management measures.&nbsp; Hospitals and Homes will also continue to support alternative methods of communication, such as through telephone or video calls, to ensure that patients and residents remain connected with their loved ones.","Can I visit my relatives in Hospitals and Residential Care Homes?",400,405
"Organisations are allowed to collect, use, and disclose personal data of visitors to premises for purposes of contact tracing and other response measures for COVID-19. They may collect visitors' NRIC, FIN or passport numbers where it is necessary for this purpose. This is pursuant to sections 1(b) of the Second, Third and Fourth Schedules to the Personal Data Protection Act (PDPA), as this is necessary to respond to an emergency that threatens the life, health or safety of other individuals. However, they must also comply with the Data Protection Provisions of the PDPA. Such as making reasonable security arrangements to protect the personal data in their possession from unauthorised access or disclosure (e.g. Ensure visitor logbooks are kept secured and not visible to other visitors), and ensuring that the personal data is not used for any other purposes without consent or authorisation under the law. Organisations should also erase the data when it is no longer needed for contact tracing-related purposes. Please click here  for more FAQs on PDPA.","Can organisations collect personal data of visitors for contact tracing and other COVID-19 measures?",472,477
"If you have travelled to any other countries within the previous 10 days and now test positive on the antigen rapid test (ART), you should undergo a SARS-CoV-2 PCR test. If you have tested positive on the SARS-CoV-2 PCR test and are eligible for home recovery programme (HRP), you should still proceed with it. If you are serving your SHN in a hotel and are eligible for HRP, you will continue to remain in the hotel to recover and complete the isolation requirements.  If you are not eligible for HRP, please wait for MOH to contact you to convey you out to an appropriate care facility.&nbsp; Only cases tested to be infected with the Omicron variant, including those that have the S-gene target failure on the appropriate PCR test, will not be allowed to undergo home recovery. In these situations, you will be contacted by MOH separately and conveyed to NCID for isolation and management.","If I have travelled to countries other than those affected by Omicron variant recently and tested positive, do I still follow the standard protocols?",795,800
"The following individuals are considered higher risk, and are recommended to see a doctor if they test positive for COVID, even if they are feeling well:  Children aged less than 3 years old; Persons aged 70 years and older; Persons who are/have:  pregnant; on dialysis; diagnosed with HIV or AIDS; had organ transplant surgery; been diagnosed with cancer before; any disease or taking medications that weaken the immune system; any disease affecting their heart, lungs, kidneys, liver or brain that required hospital admission in the last 6 months.  Children aged less than 12 years old who have:  any congenital condition or growth disorder that affects the heart, lung or brain; Diabetes Mellitus or Hypertension.","Which individuals are considered at higher risk of developing severe COVID-19 disease?",902,907
"Yes, you can. For the unvaccinated, you can also automatically self-discharge on Day 14. You are highly unlikely to be infectious by this time.","I was tested C+ and am fully vaccinated. I am still C+ on Day 7, can I really automatically self-discharge on Day 7?",890,895
"There should be no need for a recovery memo. You can show your ART- result to your employer or school as proof of your recovery status after at least 72 hours. Schools and employers are to recognise it.","If I am on Protocol 1, how do I prove my recovered status* after 72 hours but the recovery memo is sent out only on Day 7/Day 14?",891,896
"Please visit this page  to find SASH clinics.","Where can I find a Swab and Send Home (SASH) Clinic?",480,485
"The Antigen Rapid Test (ART) self-test kits can be purchased from various community retail pharmacies, general retail shops, as well as e-commerce platforms. If you are unable to leave your home, you may arrange for family, friends or relatives to help you purchase them. Alternatively, you may purchase them online and have it delivered to you. Please refer to Health Science Authority (HSA)’s website  for the list of authorised self-test kits.","Where can I get more Antigen Rapid Test (ART) self-test kits if I have used up the kits provided by MOH?",514,519
"Frequent swabbing will do no harm. Antigen Rapid Test (ART) swabs are inserted at around 2cm into the nostril. However, if you have had recent facial surgery or frequent nose bleeds, you are advised to visit a licensed ART provider  to have a professional perform the ART for you. If you are feeling unwell, with symptoms such as fever, cough, sore throat, please seek medical attention at your nearest Swab and Send Home (SASH)  clinic. Please do not perform any ART self-testing if you are unwell.","Is frequent Antigen Rapid Test (ART) swabbing harmful to me?",401,406
"You may refer to the instructions on the Antigen Rapid Test (ART) self-test kits. Click here  for more information about ART self-testing.","How do I use the Antigen Rapid Test (ART) self-test kits?",502,507
"Generally, those below 12 years old will require an adult's assistance to administer the ART self-test. Please refer to the manufacturer's instructions provided within the ART self-test kits for usage instructions and other specifications.&nbsp; The following two brands of ART may be administered by parents/ caregivers on children under 2 years old:  Abbott Panbio COVID-19 Antigen Self-Test Acon Biotech Flowflex SARS-CoV-2 Antigen Rapid Test (Self-Testing)","Are there any age restrictions on the use of the Antigen Rapid Test (ART) kits?",501,506
"“Self-test and recovery” has its advantages, because you can exit isolation and resume normal activities as soon as possible. Your contacts will not be subject to a Health Risk Notice. However, there is also no official record of your infection. If the objective of an official infection record is to be exempted from the booster dose, we encourage you to take the booster anyway so as to have proper protection.","I am self-tested as ART+. How can I prove that I am a recovered patient if I self-isolated but did not see a doctor?",892,897
"MOH completed the first nationwide distribution of ART kits to all households from 28 Aug to 27 Sep 2021. Residents staying in commercial or mixed-use developments may not have received the kits, as they were initially only delivered to residential units. If you have not received your ART kits, please contact SingPost at 1605  or email  them for assistance. Once address verification has been done, SingPost will deliver the ART kits within five working days.","My household did not receive the Antigen Rapid Test (ART) kits during the first distribution. What should I do?",511,516
"You can administer the ART self-test kits for anyone aged 2 and above. If you are unwell, e.g. with symptoms such as fever, cough, sore throat, please do not perform the ART self-test. See a doctor instead. Please do not perform the self-test if you had:  A nosebleed in the last 24 hours Nasal surgery in the last 4 weeks Facial surgery in the last 8 weeks","Who can use the Antigen Rapid Test (ART) kits?",500,505
"If your doctor has assessed that you need to take an ART, this will be funded by the government if you visit a Public Health Preparedness Clinic (PHPC). You can find more details at www.phpc.gov.sg. You can also check with your doctor for more details.","Do I have to pay for the ART and consultation? How much does it cost?",832,837
"Infected persons who would need to be tested for Omicron variant due to any increased risks (such as inbound travellers and their close contacts at this point in time) would be identified backend by MOH, as MOH would be aware if they had been an inbound traveller or a close contact of a suspect or confirmed Omicron case. MOH will then arrange with the laboratories for the specimens identified by MOH to be forwarded to the National Public Health Laboratory for further testing if there had been S-gene dropout/target failure and if so, to be sent further for genomic sequencing to confirm the Omicron variant.","How would persons be tested for the Omicron variant?",791,796
"All residential addresses in Singapore will receive the ART kits. Households residing in HDB flats and condominiums will receive the package in their household letterboxes. Households residing in landed properties will receive the package via doorstep delivery.","Who is eligible to receive the Antigen Rapid Test (ART) kits?",510,515
"Preliminary validation by the manufacturers show that ARTs remain effective in detecting COVID-19 cases of the Omicron variant, and laboratories are doing further biochemical tests to confirm these results. These initial results lend confidence that ARTs remain effective as a method of detecting COVID-19, including Omicron cases. We will continue to monitor studies and data on this.","Would the antigen rapid test (ART) kits still be able to detect the Omicron variant?",794,799
"As part of our transition towards COVID-resilience, regular testing is an important part of our strategy to detect cases early and curb transmission. MOH completed the first nationwide distribution of ART kits to all households from 28 Aug to 27 Sep 2021, which provided each household with 6 ART kits. To equip households with more ART kits to enable self-testing, MOH is conducting another round of distribution from 22 Oct to 7 Dec 2021. Each household will receive 10 ART self-test kits. Beyond what we have distributed, households who need more kits to perform self-testing are strongly encouraged to purchase them. This is part of our personal and civic responsibility to ensure a safer community for all.","Why is MOH distributing Antigen Rapid Test (ART) self-test kits? When will I receive the new kits?",509,514
"Self-administered test instructions and requirements vary with the brand of kit you have purchased. Do read the manufacturer's instructions carefully so as to use the ART test kits correctly. For example, any faint test line with a positive Control line is considered positive. To be sure, check against the manufacturer’s instructions. If you have tested positive, you should immediately stop going to work and cancel your social activities to protect others from possibly being infected with COVID-19. Self-isolate for 72 hours at home. This will allow you to safely recover, monitor your health and avoid spreading the virus further. There is no need for an MC if you have no symptoms. If a doctor has assessed you to have a mild condition, you will be given an MC to cover the expected period of rest needed for your symptoms to resolve. For more information, click here .","I am not sure how to interpret my self-administered ART test result. What should I do?",883,888
"There is no need to test for the Omicron variant as part of routine COVID-19 testing. Currently, infected persons who would need to be tested for Omicron variant due to any increased risks would be identified backend by MOH. MOH will then arrange for the necessary testing to be done for the specimens of these persons.","Can me or my doctor request for myself to be tested for the Omicron variant?",792,797
"The specimens would be sent to the National Public Health Laboratory in which it would be processed on one HSA-approved commercial SARS-CoV-2 PCR assay to detect for any S gene dropout/target failure, which is suggestive of  the Omicron variant, although there are limitations to this as an indication of the variant. Definitive detection of the Omicron variant would require sequencing of the virus.","What tests are done to test for the Omicron variant?",793,798
"All households can expect to receive the ART kits progressively from 22 Oct to 7 Dec 2021. You can download the SingPost app [Android , Apple ] to be alerted when the ART kits have been delivered to your letterbox.","When will I receive the Antigen Rapid Test (ART) kits?",513,518
"If you tested positive on a PCR or ART test and you feel well, you should check if you fulfil any of the following criteria:  Individuals aged 70 years old and above Children less than 3 years old Children less than 12 years old and have any of these conditions:  Congenital condition or growth disorder that affects the heart, lungs or brain Diabetes Mellitus or Hypertension  Pregnant Had an organ transplant surgery before Have any disease or taking medications which weaken the immune system Diagnosed with cancer before (including blood cancers) On dialysis Diagnosed with HIV or AIDS Have disease affecting heart, lungs, kidneys, liver or brain that required hospital admission in the last 6 months  If you fulfil any of the above criteria, you should receive medical advice even if you are feeling well (if you tested positive on self-administered ART, you should seek medical advice at a clinic. If you tested positive for on-arrival test or tests done at a Test Center, a telemedicine provider will subsequently get in touch for further assessment). Otherwise, for the first 72 hours, pause all activities and isolate at your hotel or residential accommodation and follow these instructions . If you have a place of residence in Singapore, you may opt to isolate there instead and may take private transport there. You should inform your hotel of your positive ART result and your intention to recover at your place of residence. Your hotel may have further instructions to limit your interaction with other hotel guests and staff when moving between your room and the private transport. Pre-book your private transport, inform the private transport provider of your positive ART result, and head to the vehicle only once it has arrived. During the journey, wind down the windows and sit alone in the back seat during the journey. You should not make any stops along the way. Should you decide to isolate at your place of residence, you may not switch the isolation venue (i.e. decide to return to the hotel again, and vice versa) during the isolation period. If you feel unwell, refer to this FAQ .","[For travellers] What should I do if I test positive on a COVID-19 PCR or ART while residing at a hotel?",803,808
"If you have tested positive for COVID-19 and require self-isolation, you will not be allowed to break isolation to check into a hotel, even if this is to undergo isolation. You should inform MOH if your household environment is unsuitable for isolation and will be conveyed to a care facility accordingly.","[For travellers] I have tested positive for COVID-19. May I check into a hotel to undergo isolation?",799,804
"Isolate yourself in your hotel room immediately and follow the instructions in the SMS sent to you. If you test positive on any of your ARTs and you feel well, see this FAQ . If you test positive and feel unwell, see this FAQ .&nbsp; You are still required to comply with the travel health control measures imposed on you even if you receive a HRN. If you are serving a Stay-Home Notice (SHN), you are required to continue to comply with the full duration of your SHN and undergo the exit-SHN test as stipulated in the Stay Order issued to you.","[For travellers] What should I do if I have been identified as a close contact of a COVID-19 case and am issued a HRN while residing at a hotel?",809,814
"No. Travellers are responsible for the costs associated with COVID-19 related recovery, testing and treatment, including any necessary extensions to their stay in hotels or at care facilities. Please refer to this page for more details on medical treatment and COVID-19 travel insurance.","[For travellers] If I need to extend my stay at a hotel to serve out the relevant isolation period, will the Govt pay for the additional expenses?",807,812
"No. Leaving your declared isolation venue before the isolation period is an offence under the Infectious Diseases Act. Enforcement action may be taken, including a fine of up to $10,000 and/or imprisonment of up to 6 months. You may also be denied boarding / entry into other countries/regions, depending on their border measures.","[For travellers] Can I depart Singapore if I have yet to finish my isolation period?",806,811
"If you are under travel health control measures:  If you are currently serving your SHN, follow the instructions in the notice issued to you. If you are in self-isolation pending the results of your on-arrival test, remain in your hotel room and contact either the hotel front desk or a telemedicine provider  immediately. They will inform you on the next steps.  If you test negative for COVID-19 and are not placed on a recovery protocol following medical consultation, you should continue to adhere to the travel health control measures.&nbsp; If you test positive for COVID-19 and are placed on a recovery protocol, during the recovery period and following your discharge from the recovery protocol, you are not required to undergo further testing as part of the border measures you were originally subjected to. Instead, you should follow the protocols for the recovery procedure assigned to you. Your medical provider will be able to advise you on the recovery protocol you are placed on and the next steps. If you receive a SMS from the Ministry of Health (MOH) following your positive test, you should also follow all the instructions in the SMS. After discharge from the relevant recovery protocol, you do not need to adhere to further testing/ SHN obligations as part of the travel health control measures you were originally subjected to. If you are not under any travel health control measures but feel unwell, seek medical advice at a clinic immediately via private transport. The doctor may administer further COVID-19 Polymerase Chain Reaction (PCR) and/or Antigen Rapid Tests (ARTs) depending on your condition and risk assessment, and will advise you on the appropriate steps to take to facilitate your recovery. Should you experience emergency symptoms such as chest pains and shortness of breath at any time, call 995 for urgent conveyance to a medical facility or contact hotel staff for immediate assistance. If you have mild symptoms, please seek medical advice via a telemedicine provider or at a clinic first. This will help ensure that SCDF 995 Emergency Medical Services are safeguarded for patients with emergency conditions.","[For travellers] What do I do if I feel unwell while residing at a hotel?",808,813
"You may purchase self-administered ART kits online or from pharmacies and drugstores around Singapore. Hotels may also carry self-administered ART kits for purchase. If you are currently serving a SHN or undergoing isolation or undergoing in-situ recovery, you should purchase your ART kits through contactless methods and should not leave your room to buy ART kits.","[For travellers] Where can I get Antigen Rapid Test (ART) kits from?",810,815
"You will be issued a Health Risk Notice (HRN) (see this FAQ). If you test negative for your Day 1 ART, you may either inform your hotel Duty Manager so that they can arrange for your transfer to another room, or source for alternative accommodation on your own. Please note that you are responsible for any additional accommodation costs incurred.","[For travellers] I am residing at a hotel and my roommate has tested positive for COVID-19. What do I do?",811,816
"As announced on 26 Dec 2021, international evidence now indicates that the Omicron variant is likely to be more transmissible but less severe than the Delta variant, and that vaccines, especially boosters, continue to provide substantial protection against severe illness caused by Omicron. We can therefore apply a unified approach to managing COVID-19 cases, whether they are of the Omicron or Delta variant.&nbsp; Most travellers coming into Singapore are fully vaccinated and hence, less likely to be infected with COVID-19. Even if infected, they are less likely to become severely ill and impose a burden on our healthcare system. They are therefore well able to recover on their own, be it in-situ at hotels, or in their own homes.&nbsp; To continue to ensure the safety of other guests and hotel staff, MOH and NEA have put in place infection prevention and control guidelines which hotels should adhere to in order to minimise the risk of transmission. Hotels can further protect their guests and staff by streamlining their processes to be contactless as much as possible and taking necessary precautions (such as hand hygiene, frequent cleaning and disinfection of spaces, and adhering to the appropriate SMMs). Staff who are cleaning rooms which were occupied by Ag+/C+ guests should don the appropriate Personal Protective Equipment (PPE)*. In addition, guests who test positive for COVID-19 are required to remain in their rooms and adhere strictly to the stipulated isolation and testing protocols. They should not interact with other guests or hotel staff or use any shared facilities. Any guests who breach COVID-19 protocols may face enforcement action. *Surgical or N95 mask, eye protection, gown and gloves.","[For travellers] Is in-situ recovery at hotels safe, particularly in light of the Omicron variant? What measures are put in place?",802,807
"You may not transfer to another hotel to undergo isolation and should undergo recovery in-situ if eligible.","[For travellers] I have tested positive for COVID-19 while residing at a hotel. May I transfer to another hotel to undergo isolation?",800,805
"Thus far, with Singapore’s high vaccination rates, we have found that the vast majority of COVID-19 cases have mild or no symptoms and are well able to recover safely on their own (e.g. via the Home Recovery Programme), while minimising the risk of transmission to others by adhering to isolation protocols. Most travellers coming into Singapore are fully vaccinated and hence, less likely to be infected with COVID-19. If infected, they can recover on their own safely while isolating in their own rooms to minimise risks of onward transmission, and need not be segregated by floor from other members of the community. Beyond floor segregation, MOH and NEA have put in place infection prevention and control guidelines which hotels should adhere to in order to minimise the risk of transmission to continue to ensure the safety of other guests and hotel staff. In addition, guests who test positive for COVID-19 are required to remain in their rooms and adhere strictly to the stipulated isolation and testing protocols. They should not interact with other guests or hotel staff or use any shared facilities. Any guests who breach COVID-19 protocols may face enforcement action.","[For travellers] Why has the floor segregation requirement for PSHNs/recovering C+ been removed & is it safe for me to stay in the hotel for leisure?",882,887
"You are to self-isolate for at least 72 hours from your positive test result. Thereafter, you may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1.&nbsp; Click here  to find out more on what to do after you are discharged from the Home Recovery Programme (HRP).","When can I be discharged from the Home Recovery Programme (HRP)?",419,424
"If you are unwell, e.g. with symptoms such as fever, cough, sore throat, breathlessness, see a doctor.&nbsp; If you test positive for COVID-19: Stay home and self-isolate immediately for at least 72 hours. You will either be placed on the Home Recovery Programme (HRP) by default, or if your home environment is not suitable, you can recover at the appropriate care facilities. You may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier. Days are counted starting with the day you first tested positive as Day 1.&nbsp; Click here  for more on what to do if you are unwell.","What should I do If I'm unwell?",449,454
"Please stay isolated, and call 6874 4939  to check on the status of your transfer.","I am not on the Home Recovery Programme, but I have not been transferred to a care facility. What should I do?",477,482
"You may find your PCR (Polymerase Chain Reaction)/ ART (Antigen Rapid Test) test results in HealthHub. Click on Health eServices and login via SingPass. The test results will usually be available within one to two days of your swab test.","Where can I find my PCR/ART test results administered/supervised by MOH-approved COVID-19 Test Providers?",390,395
"Click here  to find out if you are eligible for Home Recovery. If you are not suitable for Home Recovery but wish to be on the programme, you may put in an appeal by calling 6874 4939.&nbsp;","I am not eligible for Home Recovery Programme but I would like to submit an appeal. How may I do so?",478,483
"Yes, you and your household members can be on the Home Recovery Programme (HRP) together.However, those on HRP should isolate themselves from those who are not on HRP. Click here for more info on the HRP.","Besides myself, my household members are also on the Home Recovery Programme (HRP). Can we be on the HRP together?",492,497
"Your household members should try to order food or groceries that can be delivered to your home. To collect purchases from your main door, put on a mask and ensure there is no one outside before opening the main door.&nbsp; Your household members should also handle items with these simple steps:  Always check that no one is within the vicinity. Put on a surgical mask. Minimise contact with used items or bag them to prevent direct contact with used items. Wash used items with soap and water immediately. Double-bag trash securely to prevent leakage and dispose them into the rubbish chute immediately. Wash hands thoroughly with soap after handling items from household member who is recovering from COVID-19.","How should my household members manage daily necessities during my Home Recovery?",422,427
"The majority of persons with COVID-19 infection have only mild to no symptoms and do not require acute hospital care. Hence, the default care management is Home Recovery. COVID-19 patients who are unsuitable for Home Recovery may recover at a Community Care Facility, where most recover with minimal intervention. Patients in these facilities are monitored closely in case they need to be transferred to hospital for better management and support.","What is a Community Care Facility (CCF)?",470,475
"Contact a Telemedicine Doctor if you are experiencing any of the following:  High/prolonged fever Persistent diarrhoea Headaches Need to request for medications Your oximeter SpO2 reading is between 92 to 94  Refer here  for symptoms that require emergency help.","What symptoms or signs should I seek medical attention for during Home Recovery?",426,431
"Please try to make the necessary arrangements to self-isolate and minimize interaction with the other household members.&nbsp; If you are unable to self-isolate, you may inform your GP who will assess your situation and advise accordingly.&nbsp; In general, only requests by COVID-positive individuals who are unable to self-isolate due to poor living environment and have high-risk household member (e.g. unvaccinated elderly aged 80 and above or household member with weakened immune system) would be considered. Should you require to go to an isolation facility, your GP will arrange for you through MOH. Please note that you may be required to stay with another COVID-19 patient in an isolation facility. If you can self-isolate, you may choose to stay home or make other arrangements such as paid lodging or move the vulnerable household members to other residences.","What happens if I do not have a room to self-isolate, or live with someone from a vulnerable group (e.g. elderly, unvaccinated parents)?",816,821
"Click here  to find out if you are eligible for Home Recovery.","Who is eligible for Home Recovery?",398,403
"Click here  for more information about the Home Recovery Programme.","I have placed on the Home Recovery Programme. What can I expect?",416,421
"Yes. Please inform the driver of your health status. Although the risk of in-car transmission is low, drivers are encouraged to take additional precautions to further reduce the risk of transmission, such as winding down the windows during the course of the trip.","If I am unwell or my ART is positive & I need to commute to QTCs* using taxi or private hire car, do I need to inform the driver of my health status?",516,521
"While you are allowed to leave the house, please try to minimise social interactions for the next 7 days.","I was discharged from Community Care Facility (CCF) even though it’s been less than 10 days. Can I go out?",412,417
"If you have any of the following symptoms, your condition is considered severe, and you will require urgent medical care. Please note that this list is non-exhaustive, and your doctor will exercise his own clinical judgement in assessing your condition:  Chest pain Shortness of breath Sudden weakness over one side of body, slurring of speech, drooping of the face, severe headache that does not get better with usual pain medication Chest palpitations Sudden onset of painful, red or swollen limbs&nbsp;  If you have the following symptoms, you should also consult your doctor for further advice:&nbsp;  Persistent diarrhoea and vomiting/ unable to take fluids Fever for ≥3 days","How do I know if my condition is mild or severe?",815,820
"COVID-19 Treatment Facilities are community care facilities dedicated to the recovery of elderly patients who are:  Stable, mildly symptomatic, clinically-well Have underlying chronic illnesses or comorbidities (e.g. cardiac, neurological or respiratory diseases, or weakened immune response), that could make them more susceptible to a potential worsening of illness.  While this group of elderly patients are not at a high risk of worsening illness — e.g. requiring oxygen supplementation, care in the intensive care unit (ICU) — they require closer monitoring of their pre-existing medical conditions, as well as for any early signs of worsening illness. Patients who experience a worsening of illness will be immediately sent to our hospitals for greater care.","What is a COVID-19 Treatment Facility (CTF)?",498,503
"While waiting for your test result, you should immediately return home and self-isolate in a room, preferably with an attached bathroom, until you receive your result. Please minimise interactions with your household members. Your household members may continue with their regular activities.","I took a administered test* earlier today, and I am currently waiting for my result. Can my household members continue with their regular activities?",508,513
"You should perform contactless transactions and ensure items are bagged securely to reduce exposure to others. This means food/groceries will need to be delivered for the household. You should also maintain a high level of personal hygiene by washing your hands regularly with soap and practice good bathroom etiquette, e.g. close the lid before you flush.&nbsp; For other instances where you need to perform daily functions from within the room, for example, collect meals, have laundry changed or clear trash, below are simple tips that you can follow, so as to ensure the safety of your household members supporting you with managing these daily necessities:  Ensure no one from the household is near the doorway to your room Put on a surgical mask before opening the door Handle your items in ways to reduce the need for family members to come into direct contact with them as much as possible, such as:  Dedicate a set of utensils for your meals, do not share dishes, drinking cups, cutlery etc. Your family may wash your used utensils together with theirs;&nbsp; Place your laundry in a bag at your door. Your family may wash your soiled laundry together with theirs, but they should empty your bag of laundry directly into the washing machine and avoid handling your soiled clothes with their bare hands; Place your secured, double-bagged trash at the door for your family to help dispose of. Your family should throw the bag directly into the rubbish chute immediately;  Inform the other members of the household of the above, so they can collect the rubbish/laundry/eating utensils Wash your hands with soap and water regularly or where applicable.  If you do not have an attached bathroom within the isolation room, ensure everyone practices proper hygiene and disinfects the bathroom after each use. These are some examples to help the household manage:&nbsp;  designate specific bathroom for the patient’s usage and other household members should use another bathroom; if a single bathroom has to be shared, after use, lower the lid before flushing. User should clean and disinfect after each use for contact surfaces and do not use for at least 20 minutes immediately after the patient’s usage.&nbsp;  If you live alone and need to collect deliveries at the door, below are simple tips that you can follow:  Place a hook at the door and ask the delivery man to hang the delivered groceries or food there for contactless delivery; Ensure that the delivery man has left and no one is within the vicinity of your doorway; Put on a surgical mask before opening the door; Collect your deliveries and close the door; Do not interact with anyone; Wash your hands with soap and water regularly or where applicable.","How should I manage my daily necessities during home recovery?",421,426
"Yes, you may self-isolate with your household member in the same home. Each of you may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1.","My household member and I are serving separate self-isolation at home. Can we self-isolate together in the same home? How do we exit isolation?",562,567
"Here's a set of guidelines you should observe while on Home Recovery to minimise risk of transmission:  Self-isolate in your room, preferably with an attached bathroom.&nbsp; Ensure that there is no face-to-face contact with other household members while receiving food and other items by getting household members to leave the items outside your room door. Wear a surgical mask and ensure that nobody is outside the door before opening the door. For groceries and food, use contactless food and grocery deliveries, or get help from relatives and friends not from your household. If you live alone and you need to collect deliveries, ensure no one is outside the door and do not interact with anyone. Wear a surgical mask before opening the door. If you need to leave your room, to protect your household members: wear a surgical mask before opening your room door.&nbsp; Use a dedicated set of utensils for your meals, do not share. Your family may wash your utensils, but they should avoid handling your utensils directly with their hands. Your family may wash your laundry together with theirs, but they should empty your bag of laundry directly into the washing machine and avoid handling your clothes directly with their hands. If you do not have an attached bathroom:  Designate a specific bathroom for the patient's usage and other household members should use another bathroom. If a single bath room has to be shared, clean and disinfect after each use and do not use for at least 20 minutes immediately after the patient' s usage. Close the lid before flushing.   Please refer to the cleaning guidelines  issued by the National Environmental Agency for further information.","What health precautions should I observe when I'm on Home Recovery?",418,423
"MOH defers to the medical practitioner’s clinical judgement in deciding the severity of your symptoms and risk profile.  Please follow the advice of your health professional/ doctor. If you have any concerns, please speak with your doctor.","My symptoms are not severe. Why am I placed under Protocol 1?",818,823
"The approach to all patients who are symptomatic with acute respiratory infection symptoms remains unchanged. You should see a doctor at a Swab and Send Home Clinic, and there is no need to go to the Emergency Department for a review unless you are seriously unwell, such as having shortness of breath or chest pain. If the clinic determines you have symptoms suggestive of COVID-19, you will be tested with an antigen rapid test (ART) and/or a PCR swab.","If I have travelled to countries affected by the Omicron variant recently and have developed symptoms. What should I do?",789,794
"Upon testing positive on ART self-test, please do the following: a.	Go for a confirmatory PCR test at any SASH  clinic or Community Test Centre (CTC). It is important to also inform them that you are a dialysis patient so that you fall under Protocol 1; b.	Please report your ART positive result to your usual renal provider (i.e. the dialysis centre); c.	Your dialysis centre should then make arrangements to ensure that you attend your next dialysis session without delay. Please contact your dialysis centre to ensure that you do not miss your dialysis session whilst you wait for your PCR test results.","I am a dialysis patient. I tested positive on an Antigen Rapid Test (ART) self-test. What should I do?",904,909
"Once you receive your PCR positive result, please update your renal provider immediately to inform them. Whilst waiting for the Telemedicine provider to contact you, your renal provider will continue to arrange your dialysis session and inform you of the venue and dialysis appointment time*. Your renal provider will also arrange for transport with MOH Case Management Task Group (CMTG) or SMRT STRIDES to pick you up 45 minutes before the dialysis session, and send you back home after your dialysis session. Please refer to the table for a summary of the respective venues for dialysis for haemodialysis patients with COVID-19.  *This is applicable for COVID-19 positive (C+) dialysis patients who are placed on the Home Recovery Programme (HRP) or Hospital-at-Home (H@H) Programme; (ii) ART positive patients who are awaiting PCR results; (iii) C+ patients who are awaiting conveyance to hospital or COVID-19 Treatment Facilities (CTF) for admission; and (iv) C+ patients who have refused admission into hospital/CTF and have signed a Letter of Undertaking (LOU).","I am a dialysis patient. Where do I go for my dialysis when I am found to be PCR positive?",906,911
"Please visit a doctor  if you are feeling unwell (e.g. having symptoms such as fever, cough, sore throat).&nbsp; You should only call 995 if you are experiencing severe symptoms  such as chest pain, shortness of breath, etc. Do inform your renal provider if you have been conveyed to hospital for further treatment.","I am a dialysis patient. What should I do if I become unwell?",908,913
"You will be contacted by a Telemedicine provider, who will assess whether you should be placed under HRP, or conveyed to a COVID-19 treatment facility (CTF), or sent to one of the hospitals.","I am a dialysis patient. What should I do after receiving a SMS informing me that I am PCR positive?",905,910
"You may exit self-isolation and go back to your usual community renal dialysis centre if you: a)	test negative on an ART self-administered after 72 hours from your positive test result and asymptomatic; or&nbsp; b)	on Day 7 (if fully vaccinated) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) and asymptomatic, without a need to test, whichever is earlier","I am a dialysis patient. I did not dialyse at my usual dialysis centre after testing COVID-positive*. When can I go back to my own dialysis centre?",907,912
