ans_str,query_str,ans_str_span,idx_of_ans,idx_of_qns
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what vaccines are individuals who underwent the third vaccination should receive from the sinovac-coronavac vaccine?,sinovac-coronavac vaccine as part of a three-dose primary vaccination series,6,318
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",how long is the booster dose of the sinovac-coronavac vaccine?,5 months after the last dose,6,319
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what vaccination might people receive after receiving the booster dose?,thener vaccination,6,320
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what does the booster dose do?,do not be delayed beyond nine months after the third dose of the vaccine,6,321
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what vaccination should be delayed after the third vaccine did not need to have the booster dose?,national vaccination programme,6,322
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",how many months is it expected for a booster dose to receive a mrna vaccine?,three months after the third dose of the vaccine,6,323
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what do people who recover from covid-19 infection or completed their recommended covid-19 vaccination receive?,a booster vaccination,6,324
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what can be changed from the booster dose to other types of vaccines?,these booster dose should not be delayed beyond nine months after the third dose of the vaccine course,6,325
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.",what is the safety of those with recovered from covid-19 infection and completed the recommended covid-19 vaccine?,it is safe for them and may provide additional protection,6,326
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",how long following the booster dose should you have to receive the sinovac-coronavac vaccine as their third dose?,three months thereafter,7,327
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what vaccine should be received after the three day primary vaccine?,is this vaccine only ineligible for the mrna vaccine,7,328
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what should someone who received the sinovac-coronavac vaccine as their third vaccination dose do? ,repeated to sinopharmarm,7,329
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",the vaccine would be best for a vaccination if someone needed a booster dose of which vaccine?,esinovac-coronavac* covid-19,7,330
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",the booster dose for sinovac-coronavac vaccines should be applied to what unless medically ineligible for the mrna vaccine?,sinopharmarm,7,331
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what is the name of someone who received the sinovac-coronavac vaccine as their third vaccine?,those who received the sinovac-coronavac vaccine as their third vaccine,7,332
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",who receives the mrna vaccine after receiving a third vaccine?,anyone who received the sinovac-coronavac vaccine as their third vaccine dose should do so at three months thereafter,7,333
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what would someone who received the sinovac-coronavac vaccine need to do?,get a booster dose of either the pfizer-biontech / comirnaty or moderna/spikevax mr,7,334
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what is one vaccine that is ineligible for the use of its mrna vaccine?,moderna/spikevax mrna vaccines,7,335
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm","in addition to the sinovac-coronavac vaccine, who should receive a booster dose?",persons who received an mrna vaccine,7,336
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",how long before the first two doses is another recommended vaccine?,three months thereafter,7,337
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",which vaccine should be ineligible for the mrna vaccine?,pfizer-biontech / comirnaty or moderna/spikevax mrna vaccines,7,338
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",how long should people receive the sinovac-coronavac vaccine vaccine before vaccination?,three months thereafter,7,339
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what vaccine should be ineligible for the mrna vaccine?,pfizer-biontech / comirnaty or moderna/spikevax mrna vaccines,7,340
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what should the booster dose apply to?,sinopharmarm,7,341
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what vaccine would you need to receive after receiving the booster dose?,u2014recommended for sinovac-coronavac,7,342
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what should be recommendations for a sinovac-coronavac be similar to?,sinopharmarm,7,343
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",when should the booster dose be returned?,five months thereafter,7,344
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what is the only vaccine eligible for a booster dose of sinovac-coronavac vaccine?,mrna vaccine,7,345
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm",what vaccination program should sinovac-coronavac vaccine vaccines be applied to?,sinopharmarm,7,346
"No, you do not need to restart your primary vaccination series. You should receive the booster dose as soon as possible for optimal protection. Upon receiving your booster, you will be considered as fully vaccinated.",what is the most suitable vaccination?,the booster,8,347
"No, you do not need to restart your primary vaccination series. You should receive the booster dose as soon as possible for optimal protection. Upon receiving your booster, you will be considered as fully vaccinated.","as soon as possible, you will get the booster dose for what?",optimum protection,8,348
